EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;23002;;SECRETARÍA GENERAL TÉCNICA
2014;23004;;SECRETARÍA DE ESTADO DE MEDIO AMBIENTE
2014;23005;;DIRECCIÓN GENERAL DEL AGUA
2014;23006;;DIRECCIÓN GENERAL DE SOSTENIBILIDAD DE LA COSTA Y EL MAR
2014;23008;;DIRECCIÓN GENERAL DE CALIDAD Y EVALUACIÓN AMBIENTAL Y MEDIO NATURAL
2014;23010;;OFICINA ESPAÑOLA DEL CAMBIO CLIMÁTICO
2014;23011;;SECRETARÍA GENERAL DE AGRICULTURA Y ALIMENTACIÓN
2014;23012;;DIRECCIÓN GENERAL DE PRODUCCIONES Y MERCADOS AGRARIOS
2014;23013;;DIRECCIÓN GENERAL DE SERVICIOS
2014;23014;;DIRECCIÓN GENERAL DE LA INDUSTRIA ALIMENTARIA
2014;23015;;SECRETARÍA GENERAL DE PESCA
2014;23016;;DIRECCIÓN GENERAL DE ORDENACIÓN PESQUERA
2014;23017;;DIRECCIÓN GENERAL DE RECURSOS PESQUEROS Y ACUICULTURA
2014;23018;;DIRECCIÓN GENERAL DE DESARROLLO RURAL Y POLÍTICA FORESTAL
2014;23019;;DIRECCIÓN GENERAL DE SANIDAD DE LA PRODUCCIÓN AGRARIA
2014;23101;;PARQUES NACIONALES
2014;23112;;AGENCIA PARA EL ACEITE DE OLIVA
2014;23207;;ENTIDAD ESTATAL DE SEGUROS AGRARIOS
2014;23211;;FONDO ESPAÑOL DE GARANTÍA AGRARIA
2014;23225;;CONFEDERACIÓN HIDROGRÁFICA DEL DUERO
2014;23226;;CONFEDERACIÓN HIDROGRÁFICA DEL EBRO
2014;23228;;CONFEDERACIÓN HIDROGRÁFICA DEL GUADALQUIVIR
2014;23229;;CONFEDERACIÓN HIDROGRÁFICA DEL GUADIANA
2014;23230;;CONFEDERACIÓN HIDROGRÁFICA DEL JÚCAR
2014;23231;;CONFEDERACIÓN HIDROGRÁFICA DEL MIÑO-SIL
2014;23232;;CONFEDERACIÓN HIDROGRÁFICA DEL SEGURA
2014;23233;;CONFEDERACIÓN HIDROGRÁFICA DEL CANTÁBRICO
2014;23234;;CONFEDERACIÓN HIDROGRÁFICA DEL TAJO
2014;23236;;MANCOMUNIDAD DE LOS CANALES DEL TAIBILLA
2014;23401;;AGENCIA ESTATAL DE METEOROLOGÍA
2014;25;;MINISTERIO DE LA PRESIDENCIA
2014;25001;;PRESIDENTE DEL GOBIERNO
2014;25002;;MINISTERIO Y SERVICIOS GENERALES
2014;25003;;PORTAVOZ DEL GOBIERNO
2014;25101;;CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES
2014;25102;;CENTRO DE INVESTIGACIONES SOCIOLÓGICAS
2014;25103;;CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL
2014;25301;;CENTRO NACIONAL DE INTELIGENCIA
2014;25401;;AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO
2014;26;;MINISTERIO DE SANIDAD, SERVICIOS SOCIALES E IGUALDAD
2014;26001;;MINISTERIO Y SUBSECRETARÍA
2014;26002;;SECRETARÍA GENERAL TÉCNICA
2014;26004;;SECRETARÍA GENERAL DE SANIDAD Y CONSUMO
2014;26007;;DIRECCIÓN GENERAL DE SALUD PÚBLICA, CALIDAD E INNOVACIÓN
2014;26009;;D. G. DE CARTERA BÁSICA DE SERVICIOS DEL SISTEMA NACIONAL DE SALUD Y FARMACIA
2014;26012;;DIRECCIÓN GENERAL DE ORDENACIÓN PROFESIONAL
2014;26015;;SECRETARÍA DE ESTADO DE SERVICIOS SOCIALES E IGUALDAD
2014;26016;;DIRECCIÓN GENERAL DE SERVICIOS PARA LA FAMILIA Y LA INFANCIA
2014;26017;;DIRECCIÓN GENERAL DE POLÍTICAS DE APOYO A LA DISCAPACIDAD
2014;26018;;DELEGACIÓN DEL GOBIERNO PARA EL PLAN NACIONAL SOBRE DROGAS
