EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;ITEM;IMPORTE
2013;98001;23;;;Sobre tráfico exterior;1377900000
2013;98001;230;;;Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías;1350300000
2013;98001;231;;;Exacciones reguladoras y otros gravámenes agrícolas;27600000
2013;98001;28;;;Otros impuestos indirectos;1506100000
2013;98001;280;;;Cotización, producción y almacenamiento de azúcar e isoglucosa;8200000
2013;98001;281;;;Impuesto sobre las Primas de Seguros;1390500000
2013;98001;282;;;Sobre transmisiones patrimoniales intervivos;6700000
2013;98001;283;;;Impuesto sobre actividades del juego;100000000
2013;98001;283;;00;De apuestas mutuas deportivas;83984000
2013;98001;283;;01;De apuestas deportivas de contrapartida;385000
2013;98001;283;;03;Del ejercicio 2011;15631000
2013;98001;289;;;Otros impuestos indirectos;700000
2013;98001;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4323559010
2013;98001;30;;;Tasas;912000000
2013;98001;300;;;Derechos por expedición de tarjetas de identidad profesional a trabajadores extranjeros;18000000
2013;98001;301;;;Canon de ocupación y aprovechamiento del dominio público marítimo-terrestre;32000000
2013;98001;302;;;Tasa por dirección e inspección de obras;137000000
2013;98001;303;;;Tasa por el ejercicio de la potestad jurisdiccional;436000000
2013;98001;304;;;Tasas de expedición de D.N.I. y Pasaportes;56000000
2013;98001;305;;;Tasas consulares;73000000
2013;98001;308;;;Tasas seguridad aeroportuaria;5000000
2013;98001;309;;;Otras tasas;155000000
2013;98001;309;;00;Tasa por acreditación catastral;2000000
2013;98001;309;;01;Tasa de juego;18000000
2013;98001;309;;02;Reconocimientos, autorizaciones y concursos;64000000
2013;98001;309;;05;Tasa de Telecomunicaciones;9000000
2013;98001;309;;07;Control de sanidad exterior de carnes y productos de origen animal de países no comunitarios;9000000
2013;98001;309;;08;Derechos de examen;6000000
2013;98001;309;;09;Tasa por la gestión administrativa del juego (D.T. 1ª Ley 13/2011);14000000
2013;98001;309;;99;Otras;33000000
2013;98001;31;;;Precios Públicos;3000000
2013;98001;310;;;Derechos de matrícula en cursos y seminarios;1000000
2013;98001;319;;;Otros precios públicos;2000000
2013;98001;32;;;Otros ingresos procedentes de prestación de servicios;463259010
2013;98001;320;;;Comisiones por avales y seguros de operaciones financieras;2445250
2013;98001;322;;;De la Administración financiera;415500000
2013;98001;322;;02;Compensación por gastos de percepción de recursos propios tradicionales de la Unión Europea;412500000
2013;98001;322;;99;Otros;3000000
2013;98001;327;;;De asistencia sanitaria;45313760
2013;98001;327;;01;Por Convenios Internacionales y Conciertos;20313760
2013;98001;327;;02;Otros conciertos de asistencia sanitaria;25000000
2013;98001;33;;;Venta de bienes;12000000
2013;98001;330;;;Venta de publicaciones propias;2000000
